StockDate-HPE,StockOpen-HPE,StockHigh-HPE,StockLow-HPE,StockClose-HPE,StockVolume-HPE,StockAdjClose-HPE
2016-12-30,23.23,23.450001,23.030001,23.139999,6313300,23.072762
2016-12-29,23.280001,23.469999,23.18,23.34,5148800,23.272182
2016-12-28,23.82,23.82,23.290001,23.299999,6595300,23.232297
2016-12-27,23.809999,23.90,23.620001,23.74,3784900,23.671019
2016-12-23,23.77,23.84,23.68,23.82,5885200,23.750787
2016-12-22,23.91,23.99,23.52,23.76,6402500,23.690962
2016-12-21,23.84,24.040001,23.795,23.889999,5421400,23.820583
2016-12-20,23.77,23.98,23.65,23.84,9068100,23.770729
2016-12-19,23.42,23.90,23.42,23.73,6799900,23.661048
2016-12-16,23.629999,23.785,23.379999,23.49,20624200,23.421746
2016-12-15,23.85,23.870001,23.67,23.73,16103100,23.661048
2016-12-14,23.74,24.379999,23.73,23.92,9834200,23.850497
2016-12-13,23.84,24.219999,23.75,23.93,10863100,23.860468
2016-12-12,24.09,24.219999,23.700001,23.90,12350600,23.830554
2016-12-09,24.559999,24.77,24.32,24.51,13314100,24.373971
2016-12-08,24.65,24.790001,24.51,24.639999,7100200,24.503248
2016-12-07,23.84,24.790001,23.809999,24.68,16290600,24.543027
2016-12-06,24.16,24.18,23.889999,23.959999,9846400,23.827022
2016-12-05,23.92,24.219999,23.83,24.209999,10272200,24.075634
2016-12-02,23.360001,23.90,23.34,23.85,7340200,23.717634
2016-12-01,23.780001,23.90,23.33,23.370001,12190500,23.240298
2016-11-30,23.790001,23.895,23.629999,23.799999,14473300,23.66791
2016-11-29,23.219999,23.90,23.219999,23.74,14084500,23.608244
2016-11-28,22.969999,23.389999,22.879999,23.34,21856000,23.210464
2016-11-25,23.02,23.389999,22.709999,23.219999,10647800,23.091129
2016-11-23,22.700001,23.629999,22.469999,23.549999,21561500,23.419298
2016-11-22,23.10,23.34,22.605,22.870001,24166700,22.743073
2016-11-21,23.42,23.549999,22.809999,23.120001,23305400,22.991686
2016-11-18,23.688999,23.85,23.27,23.309999,16593200,23.18063
2016-11-17,23.469999,23.67,23.26,23.60,10900500,23.469021
2016-11-16,23.309999,23.65,23.209999,23.530001,11549000,23.39941
2016-11-15,23.469999,23.530001,23.139999,23.41,14775400,23.280075
2016-11-14,23.35,23.620001,23.07,23.35,12373600,23.220409
2016-11-11,23.02,23.379999,22.92,23.309999,9448800,23.18063
2016-11-10,23.35,23.690001,22.91,23.07,13043300,22.941962
2016-11-09,22.440001,23.549999,22.360001,23.23,15356500,23.101074
