隸屬區,100年戶數,100年人口合計,107年戶數,107年人口合計
板橋區,194870,554186,208808,551503
三重區,140594,389558,151091,386785
中和區,155579,413896,165262,413010
永和區,89613,234203,91028,222479
新莊區,137207,402229,153825,417154
新店區,116616,296087,126791,301892
土城區,82202,238447,86981,237728
蘆洲區,65595,197686,71086,201180
樹林區,60227,177023,66460,183936
鶯歌區,27562,86966,29898,86457
三峽區,35827,103940,42780,115185
淡水區,57999,144245,75172,170312
汐止區,79312,189503,87051,199511
瑞芳區,15871,42238,16185,40208
五股區,27380,79960,31690,85217
泰山區,26217,76601,28495,78840
林口區,31032,84106,42328,106834
八里區,12305,34865,14637,38456
深坑區,8870,23307,9597,23638
石碇區,3326,7913,3376,7682
坪林區,2448,6544,2511,6519
三芝區,8873,23246,9491,23130
石門區,4104,12742,4297,12205
金山區,6709,22357,7105,21937
萬里區,7031,21946,7491,22169
平溪區,2395,5278,2300,4712
雙溪區,3810,9651,3810,8895
貢寮區,4396,13683,4392,12488
烏來區,1694,5824,1866,6320
總計,1409664,3898230,1545804,3986382
