StockDate-ORCL,StockOpen-ORCL,StockHigh-ORCL,StockLow-ORCL,StockClose-ORCL,StockVolume-ORCL,StockAdjClose-ORCL
2016-12-30,38.75,38.860001,38.34,38.450001,10820200,38.30
2016-12-29,38.610001,38.84,38.610001,38.689999,5711800,38.539062
2016-12-28,38.869999,38.919998,38.630001,38.68,8264100,38.529103
2016-12-27,38.77,39.040001,38.759998,38.82,5073700,38.668556
2016-12-23,38.790001,39.02,38.630001,38.779999,8143600,38.628711
2016-12-22,38.93,39.240002,38.599998,38.959999,11226300,38.808009
2016-12-21,39.060001,39.060001,38.610001,38.830002,11966400,38.678519
2016-12-20,38.959999,39.110001,38.799999,39.00,14006400,38.847854
2016-12-19,39.029999,39.189999,38.59,38.900002,15135100,38.748245
2016-12-16,40.220001,40.220001,38.759998,39.099998,46224200,38.947462
2016-12-15,40.950001,41.139999,40.740002,40.860001,17783500,40.700598
2016-12-14,40.869999,41.09,40.619999,40.880001,25102400,40.720521
2016-12-13,40.470001,41.00,40.470001,40.759998,12493100,40.600986
2016-12-12,40.349998,40.700001,40.349998,40.509998,10891400,40.351961
2016-12-09,40.41,40.77,40.279999,40.52,11219100,40.361924
2016-12-08,40.32,40.490002,40.080002,40.349998,10109700,40.192586
2016-12-07,39.50,40.369999,39.490002,40.32,15170600,40.162704
2016-12-06,39.009998,39.48,38.880001,39.470001,13524700,39.316021
2016-12-05,38.599998,39.110001,38.540001,38.970001,13681500,38.817972
2016-12-02,38.459999,38.830002,37.639999,38.50,19120300,38.349804
2016-12-01,40.110001,40.18,38.459999,38.700001,22740200,38.549025
2016-11-30,40.66,40.700001,40.189999,40.189999,14374600,40.03321
2016-11-29,40.34,40.740002,40.130001,40.549999,10157400,40.391806
2016-11-28,40.130001,40.529999,40.049999,40.299999,12118300,40.142782
2016-11-25,40.040001,40.349998,40.040001,40.27,4013100,40.1129
2016-11-23,40.049999,40.099998,39.84,40.099998,11070100,39.943561
2016-11-22,40.09,40.119999,39.810001,40.09,10993100,39.933602
2016-11-21,39.970001,40.029999,39.669998,39.889999,8073100,39.734381
2016-11-18,40.279999,40.490002,39.669998,39.860001,12890600,39.704499
2016-11-17,39.799999,40.290001,39.669998,40.25,13316600,40.092977
2016-11-16,39.099998,39.799999,38.919998,39.700001,12597000,39.545124
2016-11-15,38.889999,39.220001,38.68,39.169998,13594300,39.017189
2016-11-14,39.389999,39.669998,39.110001,39.299999,15417100,39.146683
2016-11-11,39.540001,39.810001,39.18,39.450001,12217700,39.296099
2016-11-10,39.650002,40.060001,39.299999,39.580002,26707200,39.425593
2016-11-09,38.560001,39.740002,38.389999,39.549999,19497300,39.395707
2016-11-08,39.16,39.349998,38.98,39.130001,7574700,38.977348
2016-11-07,38.73,39.150002,38.720001,39.09,9506900,38.937503
2016-11-04,38.310001,38.580002,38.169998,38.279999,14288900,38.130661
2016-11-03,37.990002,38.380001,37.990002,38.310001,12393100,38.160547
2016-11-02,38.459999,38.490002,37.98,38.029999,9488400,37.881637
2016-11-01,38.580002,38.580002,38.23,38.459999,12018200,38.30996
2016-10-31,38.310001,38.509998,38.200001,38.419998,10485300,38.270115
2016-10-28,38.299999,38.450001,38.029999,38.169998,7803300,38.02109
2016-10-27,38.41,38.560001,38.150002,38.220001,7588900,38.070898
2016-10-26,38.150002,38.639999,38.150002,38.310001,9723100,38.160547
2016-10-25,38.27,38.43,38.099998,38.360001,11627100,38.210351
2016-10-24,38.119999,38.419998,38.119999,38.27,13550500,38.120702
2016-10-21,37.990002,38.119999,37.77,37.93,13413400,37.782028
2016-10-20,38.119999,38.349998,38.009998,38.09,11197000,37.941404
2016-10-19,38.52,38.639999,38.310001,38.349998,8310900,38.200388
2016-10-18,38.599998,38.689999,38.360001,38.419998,7121900,38.270115
2016-10-17,38.540001,38.540001,38.209999,38.290001,9419000,38.140625
2016-10-14,38.259998,38.59,38.189999,38.41,11601200,38.260155
