營運日,星期,總 運 量 (單位：人次),,,,,,,,,,
107/2/1, 四 ,"2,195,868 ",,,,,,,,,,
107/2/2, 五 ,"2,340,388 ",,,,,,,,,,
107/2/3, 六 ,"1,834,349 ",,,,,,,,,,
107/2/4, 日 ,"1,567,737 ",,,,,,,,,,
107/2/5, 一 ,"2,148,007 ",,,,,,,,,,
107/2/6, 二 ,"2,226,573 ",,,,,,,,,,
107/2/7, 三 ,"2,232,769 ",,,,,,,,,,
107/2/8, 四 ,"2,300,141 ",,,,,,,,,,
107/2/9, 五 ,"2,451,371 ",,,,,,,,,,
107/2/10, 六 ,"1,984,652 ",,,,,,,,,,
107/2/11, 日 ,"1,746,239 ",,,,,,,,,,
107/2/12, 一 ,"2,230,628 ",,,,,,,,,,
107/2/13, 二 ,"2,194,814 ",,,,,,,,,,
107/2/14, 三 ,"1,987,693 ",,,,,,,,,,
107/2/15, 四 ,"829,655 ",,,,,,,,,,
107/2/16, 五 ,"1,421,887 ",,,,,,,,,,
107/2/17, 六 ,"1,459,981 ",,,,,,,,,,
107/2/18, 日 ,"1,748,528 ",,,,,,,,,,
107/2/19, 一 ,"1,769,700 ",,,,,,,,,,
107/2/20, 二 ,"1,597,499 ",,,,,,,,,,
107/2/21, 三 ,"2,051,668 ",,,,,,,,,,
107/2/22, 四 ,"2,131,082 ",,,,,,,,,,
107/2/23, 五 ,"2,315,585 ",,,,,,,,,,
107/2/24, 六 ,"2,039,735 ",,,,,,,,,,
107/2/25, 日 ,"1,678,779 ",,,,,,,,,,
107/2/26, 一 ,"2,184,581 ",,,,,,,,,,
107/2/27, 二 ,"2,348,613 ",,,,,,,,,,
107/2/28, 三 ,"1,690,886 ",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
